toll_both,vehicle_no,loading_out_time,distance_travelled,time_of_travel,day_of_travel,month_of_travel,days_from_now,time_taken,time_btn_tolls
Sergrarh,CG08L3445,10,0.0,1,4,12,8,38.3911111111,0.0
Panikholi,CG08L3445,10,93.73,4,4,12,8,41.0441666667,2.65305555556
Manguli,CG08L3445,10,53.87,5,4,12,8,42.3638888889,1.31972222222
Gudipada (Old Gangapada),CG08L3445,10,56.09,6,4,12,8,43.9477777778,1.58388888889
Gurapalli,CG08L3445,10,87.68,10,4,12,8,47.0702777778,3.1225
Bellupada,CG08L3445,10,84.24,14,4,12,8,51.0188888889,3.94861111111
Madapam,CG08L3445,10,115.8,18,4,12,8,55.1752777778,4.15638888889
Chilakapalem,CG08L3445,10,27.17,18,4,12,8,55.9616666667,0.786388888889
Vempadu,CG08L3445,10,168.5,11,4,12,8,72.4761111111,16.5144444444
Krishnavaram,CG08L3445,10,70.47,14,4,12,8,75.8022222222,3.32611111111
Kalaparru,CG08L3445,10,144.79,19,4,12,8,80.725,4.92277777778
Pottipadu,CG08L3445,10,21.9,20,4,12,8,81.6780555556,0.953055555556
Kaza,CG08L3445,10,45.05,22,4,12,8,83.6977777778,2.01972222222
Bolapalli,CG08L3445,10,82.48,1,4,12,8,86.3513888889,2.65361111111
Tangutur,CG08L3445,10,64.09,3,4,12,8,88.0544444444,1.70305555556
Sunambatti (Musunur),CG08L3445,10,62.1,4,4,12,8,89.8572222222,1.80277777778
Budanam,CG08L3445,10,97.75,11,4,12,8,96.1783333333,6.32111111111
Gaddurur,CG08L3445,10,217.67,19,4,12,8,104.997777778,8.81944444444
Mulbagal,CG08L3445,10,30.97,20,4,12,8,105.898055556,0.900277777778
Sergrarh,CG08L3445,4,0.0,5,6,11,21,25.7366666667,0.0
Panikholi,CG08L3445,4,93.41,7,6,11,21,27.8422222222,2.10555555556
Manguli,CG08L3445,4,54.17,9,6,11,21,29.7922222222,1.95
Gudipada (Old Gangapada),CG08L3445,4,55.95,11,6,11,21,31.4658333333,1.67361111111
Gurapalli,CG08L3445,4,87.7,13,6,11,21,33.8913888889,2.42555555556
Bellupada,CG08L3445,4,84.12,16,6,11,21,36.5147222222,2.62333333333
Madapam,CG08L3445,4,115.83,19,6,11,21,39.9172222222,3.4025
Chilakapalem,CG08L3445,4,26.92,20,6,11,21,40.6536111111,0.736388888889
Nathavalasa/ Vizianagaram,CG08L3445,4,39.6,21,6,11,21,41.9038888889,1.25027777778
Vempadu,CG08L3445,4,128.53,2,6,11,21,46.6786111111,4.77472222222
Krishnavaram,CG08L3445,4,69.82,8,6,11,21,52.8286111111,6.15
Kalaparru,CG08L3445,4,144.26,17,6,11,21,61.8277777778,8.99916666667
Pottipadu,CG08L3445,4,21.87,19,6,11,21,63.0475,1.21972222222
Kaza,CG08L3445,4,45.12,21,6,11,21,65.3344444444,2.28694444444
Bolapalli,CG08L3445,4,82.82,23,6,11,21,67.8205555556,2.48611111111
Tangutur,CG08L3445,4,63.57,1,6,11,21,69.6241666667,1.80361111111
Sunambatti (Musunur),CG08L3445,4,62.36,3,6,11,21,71.1536111111,1.52944444444
Budanam,CG08L3445,4,97.96,6,6,11,21,74.0122222222,2.85861111111
Gaddurur,CG08L3445,4,217.79,21,6,11,21,89.3658333333,15.3536111111
Mulbagal,CG08L3445,4,30.73,22,6,11,21,90.3352777778,0.969444444444
Sergrarh,CG08L3445,23,0.0,19,3,11,46,91.98,0.0
Panikholi,CG08L3445,23,93.2,21,3,11,46,94.7830555556,2.80305555556
Manguli,CG08L3445,23,54.02,23,3,11,46,96.6694444444,1.88638888889
Gudipada (Old Gangapada),CG08L3445,23,55.67,6,3,11,46,102.946111111,6.27666666667
Gurapalli,CG08L3445,23,88.24,10,3,11,46,107.185277778,4.23916666667
Bellupada,CG08L3445,23,83.77,14,3,11,46,111.429166667,4.24388888889
Madapam,CG08L3445,23,115.52,23,3,11,46,120.328611111,8.89944444444
Chilakapalem,CG08L3445,23,27.24,0,3,11,46,121.800833333,1.47222222222
Vempadu,CG08L3445,23,168.04,17,3,11,46,138.784444444,16.9836111111
