toll_both,vehicle_no,loading_out_time,distance_travelled,time_of_travel,day_of_travel,month_of_travel,days_from_now,time_taken
1,1,0,624.41,22,2,11,39,117.954722222
1,2,23,627.52,1,1,11,39,50.2258333333
2,3,0,1610.77,21,5,12,13,93.5397222222
2,4,4,1641.28,23,4,12,14,90.6955555556
2,5,3,1620.49,23,2,11,18,91.7338888889
2,6,3,1611.3,22,2,11,18,91.6811111111
2,7,22,1615.1,0,2,11,18,121.713055556
2,8,23,1625.3,22,1,11,19,191.201388889
2,9,14,1509.52,1,4,12,15,106.604444444
3,10,19,376.19,3,5,11,21,31.9722222222
3,11,23,375.88,23,5,11,41,23.9369444444
3,12,14,374.88,3,3,11,24,108.903611111
3,3,0,375.83,5,5,12,13,53.285
3,13,4,374.49,4,5,11,28,96.1152777778
3,14,4,375.67,7,4,12,15,74.7752777778
3,15,4,375.35,16,6,11,20,36.5147222222
3,1,0,374.07,6,2,11,39,102.600277778
3,1,1,309.55,6,4,12,15,52.9597222222
3,16,23,374.88,21,5,12,15,70.1655555556
3,17,22,340.9,6,0,11,19,55.4261111111
3,18,22,317.47,1,3,11,31,74.6402777778
3,19,2,374.92,5,5,11,41,27.2133333333
3,20,2,281.54,7,2,11,31,28.8988888889
3,21,1,374.83,2,4,11,37,73.0061111111
3,22,23,375.27,1,0,11,26,73.1936111111
3,23,4,375.65,17,4,11,22,85.1911111111
3,24,0,375.33,9,5,11,28,56.9483333333
3,25,23,377.35,13,3,11,24,61.9438888889
3,5,8,375.6,8,1,11,38,71.9286111111
3,5,3,375.78,9,2,11,18,30.1102777778
3,26,4,374.29,4,6,12,13,48.12
3,27,1,375.37,10,5,11,27,56.5627777778
3,28,2,375.22,4,6,11,20,74.3044444444
3,29,16,374.45,17,0,11,20,97.7883333333
3,7,23,359.42,2,2,11,38,51.8597222222
3,7,22,374.83,12,2,11,18,37.8686111111
3,30,23,379.11,20,3,11,25,44.3330555556
3,31,3,84.99,4,1,11,39,73.6569444444
3,31,3,376.67,18,6,11,20,62.0677777778
3,8,23,376.37,18,1,11,19,115.501111111
3,32,14,376.16,4,5,11,40,38.0316666667
3,9,14,376.77,8,4,12,15,41.1886111111
3,33,23,374.7,19,0,11,38,44.2627777778
4,11,23,1023.07,19,5,11,41,92.1330555556
4,34,3,1048.63,8,4,11,22,101.803333333
4,35,1,1051.37,2,5,11,39,289.071944444
4,3,0,1039.51,2,5,12,13,73.83
4,13,4,1046.79,7,5,11,28,123.416388889
4,14,4,1047.15,3,4,12,15,118.463333333
4,15,4,1050.12,23,6,11,20,67.8205555556
4,1,0,1052.86,1,2,11,39,145.705555556
4,16,23,1044.52,6,5,12,15,126.976388889
4,36,2,955.26,9,1,11,38,79.5152777778
4,17,22,1013.06,17,0,11,19,90.7802777778
4,18,22,991.01,0,3,11,31,97.8677777778
4,19,2,1045.54,17,5,11,41,62.9297222222
4,20,2,991.57,16,2,11,31,61.5527777778
4,21,1,1042.33,15,4,11,37,109.71
4,22,23,1050.24,16,0,11,26,112.568333333
4,23,4,1048.21,19,4,11,22,111.742777778
4,37,22,837.86,4,6,11,19,77.8280555556
4,24,0,1050.23,15,5,11,28,86.8002777778
4,38,10,1048.17,20,5,11,41,82.2055555556
4,38,15,1050.53,19,6,11,20,100.239444444
4,39,10,1048.09,19,5,11,21,104.534722222
4,4,4,1064.0,16,4,12,14,59.9133333333
4,25,23,1065.71,18,3,11,24,90.7225
4,5,8,1036.63,15,1,11,38,102.793611111
4,5,3,1050.78,17,2,11,18,62.3183333333
4,26,4,1047.13,0,6,12,13,68.2055555556
4,40,10,1044.65,17,5,12,14,126.854166667
4,27,1,1045.98,15,5,11,27,85.6586111111
4,28,2,1050.26,6,6,11,20,100.111666667
4,41,3,1044.06,23,5,11,28,92.4508333333
