,route,toll_both,distance_travelled,time_of_travel,day_of_travel,season_of_travel,month_of_travel,days_from_now,time_taken
0,1,1,171.46,3,3,4,11,19,39.43
1,1,1,171.79,4,3,4,11,19,20.1352777778
2,1,1,171.6,4,3,4,11,19,20.1411111111
3,1,1,171.37,5,5,4,11,17,9.96333333333
4,1,1,171.37,5,5,4,11,17,9.6675
5,1,1,171.73,4,5,4,11,17,23.0613888889
6,1,1,170.99,5,5,4,11,31,22.8497222222
7,1,1,171.02,5,6,4,11,16,24.5341666667
8,1,1,171.17,6,5,4,11,17,10.9386111111
9,1,1,172.52,3,4,4,11,39,18.6838888889
10,1,1,172.02,6,2,4,11,20,15.8483333333
11,1,1,172.03,4,4,4,11,18,22.385
12,1,1,173.38,4,6,4,11,31,69.5322222222
13,1,1,171.71,4,4,4,11,18,10.5091666667
14,1,1,173.88,1,2,4,11,27,18.4325
15,1,1,172.03,3,3,4,11,19,26.3305555556
16,1,1,171.74,3,5,4,11,38,42.7819444444
17,1,1,171.79,4,6,4,11,30,18.9319444444
18,1,1,171.13,5,6,4,11,30,47.9163888889
19,1,1,171.63,4,4,4,11,32,21.0852777778
20,1,1,171.1,4,5,4,11,31,22.1208333333
21,1,1,0.0,4,5,4,11,31,20.7605555556
22,1,1,0.0,4,5,4,11,31,20.7605555556
23,1,1,84.92,4,4,4,11,32,21.4469444444
24,1,1,84.16,4,5,4,11,38,22.2019444444
25,1,2,313.5,5,3,4,11,19,47.9611111111
26,1,2,315.41,5,3,4,11,19,26.4775
27,1,2,314.84,5,3,4,11,19,26.5441666667
28,1,2,314.33,6,5,4,11,17,14.1555555556
29,1,2,314.33,6,5,4,11,17,13.8597222222
30,1,2,314.86,5,5,4,11,17,27.6538888889
31,1,2,313.27,6,5,4,11,31,27.795
32,1,2,314.77,6,6,4,11,16,30.2102777778
33,1,2,314.31,1,5,4,11,17,15.5113888889
34,1,2,314.46,6,4,4,11,39,13.0130555556
35,1,2,314.71,2,2,4,11,20,21.9569444444
36,1,2,315.05,5,4,4,11,18,26.8911111111
37,1,2,315.83,5,6,4,11,31,73.7725
38,1,2,314.62,5,4,4,11,18,14.1147222222
39,1,2,317.23,2,2,4,11,27,22.3858333333
40,1,2,315.19,5,3,4,11,19,35.0902777778
41,1,2,314.76,5,5,4,11,38,48.8741666667
42,1,2,314.53,5,6,4,11,30,23.9041666667
43,1,2,314.05,6,6,4,11,30,53.5230555556
44,1,2,314.11,5,4,4,11,32,24.2883333333
45,1,2,313.85,6,5,4,11,31,29.0427777778
46,1,2,232.56,6,4,4,11,32,28.4297222222
47,1,2,227.56,6,5,4,11,38,28.2847222222
48,1,3,0.0,4,3,4,11,19,19.5141666667
49,1,3,0.0,1,3,4,11,19,11.05
50,1,3,0.0,1,3,4,11,19,11.0536111111
51,1,3,0.0,4,5,4,11,17,5.32333333333
52,1,3,0.0,4,5,4,11,17,5.0275
53,1,3,0.0,3,5,4,11,17,16.7297222222
54,1,3,0.0,3,5,4,11,31,16.5830555556
55,1,3,0.0,3,6,4,11,16,17.3377777778
56,1,3,0.0,5,5,4,11,17,6.35472222222
57,1,3,0.0,2,4,4,11,39,13.3180555556
58,1,3,0.0,3,4,4,11,39,3.11166666667
59,1,3,0.0,5,2,4,11,20,10.4408333333
60,1,3,0.0,5,4,4,11,18,3.47
61,1,3,0.0,2,6,4,11,31,61.8761111111
62,1,3,0.0,2,4,4,11,18,3.32333333333
63,1,3,0.0,5,2,4,11,27,12.7058333333
64,1,3,0.0,4,3,4,11,19,6.62583333333
65,1,3,0.0,2,5,4,11,38,35.6188888889
66,1,3,0.0,2,6,4,11,30,10.7311111111
67,1,3,0.0,2,6,4,11,30,36.8125
68,1,3,0.0,3,4,4,11,32,16.0258333333
69,1,3,0.0,2,5,4,11,31,11.1980555556
70,1,4,88.31,5,3,4,11,19,24.8044444444
71,1,4,88.17,2,3,4,11,19,13.8563888889
72,1,4,87.62,2,3,4,11,19,13.8644444444
73,1,4,87.56,5,5,4,11,17,7.71
74,1,4,87.56,5,5,4,11,17,7.41416666667
75,1,4,87.91,3,5,4,11,17,18.8375
76,1,4,88.08,4,5,4,11,31,19.7966666667
77,1,4,87.32,4,6,4,11,16,22.1455555556
78,1,4,87.41,5,5,4,11,17,8.31416666667
79,1,4,87.66,3,4,4,11,39,15.5558333333
80,1,4,88.13,4,4,4,11,39,5.92916666667
81,1,4,88.4,6,2,4,11,20,13.3597222222
82,1,4,88.16,1,4,4,11,18,12.8008333333
83,1,4,88.42,4,6,4,11,31,66.9258333333
84,1,4,88.26,3,4,4,11,18,7.31361111111
85,1,4,88.57,6,2,4,11,27,15.7386111111
86,1,4,87.93,5,3,4,11,19,11.9072222222
87,1,4,88.04,3,5,4,11,38,39.5422222222
88,1,4,88.24,2,6,4,11,30,13.4547222222
89,1,4,87.79,4,6,4,11,30,45.0319444444
90,1,4,87.2,4,4,4,11,32,18.495
91,1,4,87.62,4,5,4,11,31,18.6227777778
92,1,4,0.0,4,4,4,11,32,18.9561111111
93,1,4,0.0,3,5,4,11,38,18.0055555556
94,1,5,353.32,5,3,4,11,19,48.9111111111
95,1,5,355.6,6,3,4,11,19,27.3113888889
96,1,5,354.1,6,3,4,11,19,27.4138888889
97,1,5,354.42,6,5,4,11,17,15.1561111111
98,1,5,354.42,6,5,4,11,17,14.8602777778
99,1,5,355.07,6,5,4,11,17,28.5875
100,1,5,353.43,1,5,4,11,31,32.4519444444
101,1,5,354.99,1,6,4,11,16,31.7127777778
102,1,5,354.24,1,5,4,11,17,16.3452777778
103,1,5,354.98,5,4,4,11,39,25.2297222222
104,1,5,354.43,6,4,4,11,39,13.9297222222
105,1,5,354.94,2,2,4,11,20,22.8402777778
106,1,5,354.88,5,4,4,11,18,29.2772222222
107,1,5,355.59,6,6,4,11,31,74.6752777778
108,1,5,354.57,5,4,4,11,18,16.6738888889
109,1,5,357.16,2,2,4,11,27,23.1761111111
110,1,5,354.69,5,3,4,11,19,36.0236111111
111,1,5,355.0,5,5,4,11,38,50.0241666667
112,1,5,355.04,5,6,4,11,30,25.29
113,1,5,354.03,1,6,4,11,30,55.0255555556
114,1,5,354.78,6,4,4,11,32,26.125
115,1,5,354.08,1,5,4,11,31,30.6125
116,1,5,73.25,5,5,4,11,31,26.0216666667
117,1,5,73.25,5,5,4,11,31,26.0216666667
118,1,5,275.94,6,4,4,11,32,29.4161111111
119,1,5,267.59,6,5,4,11,38,29.5513888889
120,1,6,286.61,5,3,4,11,19,47.1252777778
121,1,6,288.47,5,3,4,11,19,25.8608333333
122,1,6,286.94,5,3,4,11,19,25.8441666667
123,1,6,286.64,6,5,4,11,17,13.4863888889
124,1,6,286.64,6,5,4,11,17,13.1905555556
125,1,6,287.61,5,5,4,11,17,26.9680555556
126,1,6,286.57,6,5,4,11,31,26.7591666667
127,1,6,287.32,6,6,4,11,16,29.5269444444
128,1,6,286.88,1,5,4,11,17,13.7583333333
129,1,6,287.75,4,4,4,11,39,23.1925
130,1,6,287.8,6,4,4,11,39,12.3272222222
131,1,6,288.15,2,2,4,11,20,21.3708333333
132,1,6,287.33,5,4,4,11,18,26.0411111111
133,1,6,288.92,5,6,4,11,31,72.6558333333
134,1,6,287.64,5,4,4,11,18,13.1786111111
135,1,6,290.06,2,2,4,11,27,21.7947222222
136,1,6,287.87,5,3,4,11,19,34.2372222222
137,1,6,287.88,5,5,4,11,38,48.0547222222
138,1,6,287.76,5,6,4,11,30,22.7541666667
139,1,6,287.18,6,6,4,11,30,51.0694444444
140,1,6,286.88,5,4,4,11,32,23.5216666667
141,1,6,286.62,6,5,4,11,31,28.2594444444
142,1,6,205.05,6,4,4,11,32,27.7797222222
143,1,6,200.81,6,5,4,11,38,27.6397222222
144,1,7,418.69,1,4,4,11,39,31.5716666667
145,1,7,418.41,1,4,4,11,39,16.0525
146,1,7,405.8,6,6,4,11,31,76.7236111111
147,1,7,416.8,1,6,4,11,30,32.2861111111
148,1,7,97.19,6,5,4,11,31,28.2633333333
149,1,7,97.19,6,5,4,11,31,28.2633333333
150,1,7,329.8,1,5,4,11,38,33.2308333333
151,1,8,353.32,5,3,4,11,19,48.9111111111
152,1,8,355.6,6,3,4,11,19,27.3113888889
153,1,8,354.1,6,3,4,11,19,27.4138888889
154,1,8,354.42,6,5,4,11,17,15.1561111111
155,1,8,354.42,6,5,4,11,17,14.8602777778
156,1,8,355.07,6,5,4,11,17,28.5875
157,1,8,353.43,1,5,4,11,31,32.4519444444
158,1,8,354.99,1,6,4,11,16,31.7127777778
159,1,8,354.24,1,5,4,11,17,16.3452777778
160,1,8,354.98,5,4,4,11,39,25.2297222222
161,1,8,354.43,6,4,4,11,39,13.9297222222
162,1,8,354.94,2,2,4,11,20,22.8402777778
163,1,8,354.88,5,4,4,11,18,29.2772222222
164,1,8,355.59,6,6,4,11,31,74.6752777778
165,1,8,354.57,5,4,4,11,18,16.6738888889
166,1,8,357.16,2,2,4,11,27,23.1761111111
167,1,8,354.69,5,3,4,11,19,36.0236111111
168,1,8,355.0,5,5,4,11,38,50.0241666667
169,1,8,355.04,5,6,4,11,30,25.29
170,1,8,354.03,1,6,4,11,30,55.0255555556
171,1,8,354.78,6,4,4,11,32,26.125
172,1,8,354.08,1,5,4,11,31,30.6125
173,1,8,73.25,5,5,4,11,31,26.0216666667
174,1,8,73.25,5,5,4,11,31,26.0216666667
175,1,8,275.94,6,4,4,11,32,29.4161111111
176,1,8,267.59,6,5,4,11,38,29.5513888889
177,2,9,0.0,6,5,4,11,16,2.73638888889
178,2,9,0.0,6,5,4,11,16,2.80694444444
179,2,9,0.0,6,5,4,11,17,2.21972222222
180,2,9,0.0,6,4,4,11,25,0.433333333333
181,2,9,0.0,6,6,4,11,16,1.93583333333
182,2,9,0.0,6,6,4,11,16,1.9525
183,2,9,0.0,6,5,1,12,10,1.58333333333
184,2,9,0.0,6,6,4,11,16,2.0525
185,2,9,0.0,6,6,4,11,16,2.06972222222
186,2,9,0.0,6,5,4,11,17,2.23666666667
187,2,9,0.0,6,2,4,11,26,0.369722222222
188,2,9,0.0,6,5,1,12,10,2.10305555556
189,2,9,0.0,6,5,4,11,17,1.78555555556
190,2,9,0.0,6,6,4,11,16,2.35722222222
191,2,9,0.0,6,4,4,11,18,1.93444444444
192,2,9,0.0,6,4,4,11,18,1.90277777778
193,2,9,0.0,6,4,4,11,18,2.10333333333
194,2,9,0.0,1,4,4,11,25,0.45
195,2,9,0.0,6,4,4,11,17,2.62
196,2,7,0.0,2,4,4,11,25,48.2313888889
197,2,7,490.71,2,6,4,11,16,34.0841666667
198,2,7,499.58,2,6,4,11,16,34.0841666667
199,2,7,488.63,2,6,4,11,16,33.4216666667
200,2,7,489.13,1,6,4,11,16,32.9052777778
201,2,7,0.0,1,6,4,11,16,32.7747222222
202,2,7,0.0,1,6,4,11,16,32.8180555556
203,2,7,511.25,1,4,4,11,25,47.7705555556
204,2,7,0.0,6,4,4,11,25,41.7011111111
205,2,7,0.0,6,1,4,11,15,86.3725
206,3,10,0.0,5,4,4,11,24,3.57222222222
207,3,10,0.0,4,1,4,11,20,3.56888888889
208,3,10,0.0,5,1,4,11,20,5.76194444444
209,3,10,0.0,5,1,4,11,20,5.76194444444
210,3,10,0.0,6,4,4,11,24,5.09805555556
211,3,10,0.0,4,1,4,11,20,2.57416666667
212,3,10,0.0,4,1,4,11,20,2.79472222222
213,3,10,0.0,5,1,4,11,20,2.33861111111
214,3,10,0.0,4,1,4,11,20,3.24861111111
215,3,10,0.0,5,4,4,11,24,3.40388888889
216,3,10,0.0,6,1,4,11,20,4.82305555556
217,3,10,0.0,4,1,4,11,20,3.31472222222
218,3,10,0.0,6,1,4,11,20,3.14222222222
219,3,10,0.0,6,1,4,11,20,4.80722222222
220,3,10,0.0,5,1,4,11,20,3.99722222222
221,3,10,0.0,5,4,4,11,24,3.4225
222,3,10,0.0,6,1,4,11,20,4.52222222222
223,3,10,0.0,6,4,4,11,24,3.17166666667
224,3,10,0.0,4,1,4,11,20,4.05527777778
