,toll_both,vehicle_no,loading_out_time,distance_travelled,time_of_travel,day_of_travel,month_of_travel,days_from_now,time_taken
0,Aganampudi,JH01AE6027,0,624.41,22,2,11,40,117.954722222
1,Aganampudi,TN36Y9906,23,627.52,1,1,11,40,50.2258333333
2,Attibele (BETL),BR02GA3943,0,1610.77,21,5,12,14,93.5397222222
3,Attibele (BETL),OD07M1151,4,1641.28,23,4,12,15,90.6955555556
4,Attibele (BETL),OR04M5329,3,1620.49,23,2,11,19,91.7338888889
5,Attibele (BETL),OR07V0091,3,1611.3,22,2,11,19,91.6811111111
6,Attibele (BETL),OR07W2988,22,1615.1,0,2,11,19,121.713055556
7,Attibele (BETL),OR11J1747,23,1625.3,22,1,11,20,191.201388889
8,Attibele (BETL),WB23B7298,14,1509.52,1,4,12,16,106.604444444
9,Bellupada,AP04TX2171,19,376.19,3,5,11,22,31.9722222222
10,Bellupada,AP05TF2187,23,375.88,23,5,11,42,23.9369444444
11,Bellupada,AP07TU2566,14,374.88,3,3,11,25,108.903611111
12,Bellupada,BR02GA3943,0,375.83,5,5,12,14,53.285
13,Bellupada,CG04DK4870,4,374.49,4,5,11,29,96.1152777778
14,Bellupada,CG04FB5095,4,375.67,7,4,12,16,74.7752777778
15,Bellupada,CG08L3445,4,375.35,16,6,11,21,36.5147222222
16,Bellupada,JH01AE6027,0,374.07,6,2,11,40,102.600277778
17,Bellupada,JH01AE6027,1,309.55,6,4,12,16,52.9597222222
18,Bellupada,JH02M1289,23,374.88,21,5,12,16,70.1655555556
19,Bellupada,JH05AE4540,22,340.9,6,0,11,20,55.4261111111
20,Bellupada,JH05BQ1509,22,317.47,1,3,11,32,74.6402777778
21,Bellupada,JH05V5242,2,374.92,5,5,11,42,27.2133333333
22,Bellupada,JH10BR9134,2,281.54,7,2,11,32,28.8988888889
23,Bellupada,NL01N5129,1,374.83,2,4,11,38,73.0061111111
24,Bellupada,OD04D0605,23,375.27,1,0,11,27,73.1936111111
25,Bellupada,OD04D5891,4,375.65,17,4,11,23,85.1911111111
26,Bellupada,OD04F2036,0,375.33,9,5,11,29,56.9483333333
27,Bellupada,OR01S7415,23,377.35,13,3,11,25,61.9438888889
28,Bellupada,OR04M5329,8,375.6,8,1,11,39,71.9286111111
29,Bellupada,OR04M5329,3,375.78,9,2,11,19,30.1102777778
30,Bellupada,OR04M6922,4,374.29,4,6,12,14,48.12
31,Bellupada,OR05AJ4215,1,375.37,10,5,11,28,56.5627777778
32,Bellupada,OR05AJ8915,2,375.22,4,6,11,21,74.3044444444
