,toll_both,vehicle_no,loading_out_time,distance_travelled,time_of_travel,day_of_travel,month_of_travel,days_from_now,time_taken,time_btn_tolls
0,Sergrarh,CG08L3445,10,0.0,1,4,12,9,38.3911111111,0.0
1,Panikholi,CG08L3445,10,93.73,4,4,12,9,41.0441666667,2.65305555556
2,Manguli,CG08L3445,10,53.87,5,4,12,9,42.3638888889,1.31972222222
3,Gudipada (Old Gangapada),CG08L3445,10,56.09,6,4,12,9,43.9477777778,1.58388888889
4,Gurapalli,CG08L3445,10,87.68,10,4,12,9,47.0702777778,3.1225
5,Bellupada,CG08L3445,10,84.24,14,4,12,9,51.0188888889,3.94861111111
6,Madapam,CG08L3445,10,115.8,18,4,12,9,55.1752777778,4.15638888889
7,Chilakapalem,CG08L3445,10,27.17,18,4,12,9,55.9616666667,0.786388888889
8,Vempadu,CG08L3445,10,168.5,11,4,12,9,72.4761111111,16.5144444444
9,Krishnavaram,CG08L3445,10,70.47,14,4,12,9,75.8022222222,3.32611111111
10,Kalaparru,CG08L3445,10,144.79,19,4,12,9,80.725,4.92277777778
11,Pottipadu,CG08L3445,10,21.9,20,4,12,9,81.6780555556,0.953055555556
12,Kaza,CG08L3445,10,45.05,22,4,12,9,83.6977777778,2.01972222222
13,Bolapalli,CG08L3445,10,82.48,1,4,12,9,86.3513888889,2.65361111111
14,Tangutur,CG08L3445,10,64.09,3,4,12,9,88.0544444444,1.70305555556
15,Sunambatti (Musunur),CG08L3445,10,62.1,4,4,12,9,89.8572222222,1.80277777778
16,Budanam,CG08L3445,10,97.75,11,4,12,9,96.1783333333,6.32111111111
17,Gaddurur,CG08L3445,10,217.67,19,4,12,9,104.997777778,8.81944444444
18,Mulbagal,CG08L3445,10,30.97,20,4,12,9,105.898055556,0.900277777778
19,Sergrarh,CG08L3445,4,0.0,5,6,11,22,25.7366666667,0.0
20,Panikholi,CG08L3445,4,93.41,7,6,11,22,27.8422222222,2.10555555556
21,Manguli,CG08L3445,4,54.17,9,6,11,22,29.7922222222,1.95
22,Gudipada (Old Gangapada),CG08L3445,4,55.95,11,6,11,22,31.4658333333,1.67361111111
23,Gurapalli,CG08L3445,4,87.7,13,6,11,22,33.8913888889,2.42555555556
24,Bellupada,CG08L3445,4,84.12,16,6,11,22,36.5147222222,2.62333333333
25,Madapam,CG08L3445,4,115.83,19,6,11,22,39.9172222222,3.4025
26,Chilakapalem,CG08L3445,4,26.92,20,6,11,22,40.6536111111,0.736388888889
27,Nathavalasa/ Vizianagaram,CG08L3445,4,39.6,21,6,11,22,41.9038888889,1.25027777778
28,Vempadu,CG08L3445,4,128.53,2,6,11,22,46.6786111111,4.77472222222
29,Krishnavaram,CG08L3445,4,69.82,8,6,11,22,52.8286111111,6.15
30,Kalaparru,CG08L3445,4,144.26,17,6,11,22,61.8277777778,8.99916666667
31,Pottipadu,CG08L3445,4,21.87,19,6,11,22,63.0475,1.21972222222
32,Kaza,CG08L3445,4,45.12,21,6,11,22,65.3344444444,2.28694444444
33,Bolapalli,CG08L3445,4,82.82,23,6,11,22,67.8205555556,2.48611111111
34,Tangutur,CG08L3445,4,63.57,1,6,11,22,69.6241666667,1.80361111111
35,Sunambatti (Musunur),CG08L3445,4,62.36,3,6,11,22,71.1536111111,1.52944444444
36,Budanam,CG08L3445,4,97.96,6,6,11,22,74.0122222222,2.85861111111
37,Gaddurur,CG08L3445,4,217.79,21,6,11,22,89.3658333333,15.3536111111
38,Mulbagal,CG08L3445,4,30.73,22,6,11,22,90.3352777778,0.969444444444
39,Sergrarh,CG08L3445,23,0.0,19,3,11,47,91.98,0.0
40,Panikholi,CG08L3445,23,93.2,21,3,11,47,94.7830555556,2.80305555556
41,Manguli,CG08L3445,23,54.02,23,3,11,47,96.6694444444,1.88638888889
42,Gudipada (Old Gangapada),CG08L3445,23,55.67,6,3,11,47,102.946111111,6.27666666667
43,Gurapalli,CG08L3445,23,88.24,10,3,11,47,107.185277778,4.23916666667
44,Bellupada,CG08L3445,23,83.77,14,3,11,47,111.429166667,4.24388888889
45,Madapam,CG08L3445,23,115.52,23,3,11,47,120.328611111,8.89944444444
46,Chilakapalem,CG08L3445,23,27.24,0,3,11,47,121.800833333,1.47222222222
47,Vempadu,CG08L3445,23,168.04,17,3,11,47,138.784444444,16.9836111111
48,Krishnavaram,CG08L3445,23,70.29,20,3,11,47,141.034722222,2.25027777778
49,Kalaparru,CG08L3445,23,144.7,1,3,11,47,146.276944444,5.24222222222
50,Pottipadu,CG08L3445,23,22.1,2,3,11,47,147.076944444,0.8
51,Kaza,CG08L3445,23,45.52,3,3,11,47,148.33,1.25305555556
52,Bolapalli,CG08L3445,23,82.28,5,3,11,47,150.116388889,1.78638888889
53,Tangutur,CG08L3445,23,64.13,6,3,11,47,151.566388889,1.45
54,Sunambatti (Musunur),CG08L3445,23,61.9,8,3,11,47,153.102777778,1.53638888889
55,Budanam,CG08L3445,23,97.29,14,3,11,47,158.952777778,5.85
56,Sergrarh,OR07W5637,23,0.0,22,3,12,10,23.5027777778,0.0
57,Manguli,OR07W5637,23,147.72,2,3,12,10,27.5661111111,4.06333333333
58,Gudipada (Old Gangapada),OR07W5637,23,56.05,4,3,12,10,29.0994444444,1.53333333333
59,Gurapalli,OR07W5637,23,82.4,9,3,12,10,34.2847222222,5.18527777778
60,Bellupada,OR07W5637,23,83.94,14,3,12,10,39.6180555556,5.33333333333
61,Madapam,OR07W5637,23,112.41,20,3,12,10,44.9225,5.30444444444
62,Chilakapalem,OR07W5637,23,16.53,21,3,12,10,45.8888888889,0.966388888889
63,Laxmipuram,OR07W5637,23,34.84,22,3,12,10,46.9072222222,1.01833333333
64,Vempadu,OR07W5637,23,125.33,16,3,12,10,65.6561111111,18.7488888889
