toll_both,vehicle_no,loading_out_time,distance_travelled,time_of_travel,day_of_travel,month_of_travel,days_from_now,predicted,eta
Panikholi,OLP453124,23,93.44,22,3,11,36,7.82919919008,2017-11-24 03:35:10.117084
Manguli,OLP453124,23,53.66,0,4,11,36,2.33062509146,2017-11-24 05:55:00.367414
Gudipada (Old Gangapada),OLP453124,23,56.155,1,4,11,36,3.08970212722,2017-11-24 09:00:23.295072
Gurapalli,OLP453124,23,88.0,4,4,11,36,9.00182948996,2017-11-24 18:00:29.881235
Bellupada,OLP453124,23,83.835,7,4,11,36,8.96656246042,2017-11-25 02:58:29.506093
Madapam,OLP453124,23,115.69,13,4,11,36,11.176916916,2017-11-25 14:09:06.406990
Chilakapalem,OLP453124,23,27.02,14,4,11,36,8.68543285364,2017-11-25 22:50:13.965264
Laxmipuram,OLP453124,23,39.26,15,4,11,36,1.53007350442,2017-11-26 00:22:02.229879
Nathavalasa/ Vizianagaram,OLP453124,23,39.335,16,4,11,36,1.38599411433,2017-11-26 01:45:11.808691
Vempadu,OLP453124,23,127.81,22,4,11,36,10.643740281,2017-11-26 12:23:49.273703
Krishnavaram,OLP453124,23,69.66,1,5,11,36,5.77883089986,2017-11-26 18:10:33.064942
Kalaparru,OLP453124,23,144.195,7,5,11,36,11.9245822053,2017-11-27 06:06:01.560881
Pottipadu,OLP453124,23,21.47,7,5,11,36,10.4380275415,2017-11-27 16:32:18.460031
Kaza,OLP453124,23,45.51,9,5,11,36,3.20291625165,2017-11-27 19:44:28.958537
Bolapalli,OLP453124,23,82.215,12,5,11,36,8.70052277879,2017-11-28 04:26:30.840540
Tangutur,OLP453124,23,63.975,14,5,11,36,5.84529083137,2017-11-28 10:17:13.887533
Sunambatti (Musunur),OLP453124,23,62.07,16,5,11,36,5.08223480428,2017-11-28 15:22:09.932829
Budanam,OLP453124,23,97.575,19,5,11,36,8.85908803431,2017-11-29 00:13:42.649752
Gaddurur,OLP453124,23,217.33,5,6,11,36,12.465638312,2017-11-29 12:41:38.947675
Mulbagal,OLP453124,23,30.665,6,6,11,36,1.41298943292,2017-11-29 14:06:25.709634
